dependent.var,repeat.var.value,population.group,numbers
sp4_vi,gaza,all,NA
sp4_vi,rafah,all,NA
sp4_vi,north_gaza,all,NA
sp4_vii,khan_yunis,all,NA
sp4_vii,deir_balah,all,NA
sp4_vii,gaza,all,NA
sp4_vii,rafah,all,NA
sp4_vii,north_gaza,all,NA
sp4_viii,khan_yunis,all,NA
sp4_viii,deir_balah,all,NA
sp4_viii,gaza,all,NA
sp4_viii,rafah,all,NA
sp4_viii,north_gaza,all,NA
sp4_ix,khan_yunis,all,NA
sp4_ix,deir_balah,all,NA
sp4_ix,gaza,all,NA
sp4_ix,rafah,all,NA
sp4_ix,north_gaza,all,NA
sp4_x,khan_yunis,all,NA
sp4_x,deir_balah,all,NA
sp4_x,gaza,all,NA
sp4_x,rafah,all,NA
sp4_x,north_gaza,all,NA
sp4_xi,khan_yunis,all,NA
sp4_xi,deir_balah,all,NA
sp4_xi,gaza,all,NA
sp4_xi,rafah,all,NA
sp4_xi,north_gaza,all,NA
sp4_xii,khan_yunis,all,NA
sp4_xii,deir_balah,all,NA
sp4_xii,gaza,all,NA
sp4_xii,rafah,all,NA
sp4_xii,north_gaza,all,NA
sp4_xiii,khan_yunis,all,NA
sp4_xiii,deir_balah,all,NA
sp4_xiii,gaza,all,NA
sp4_xiii,rafah,all,NA
sp4_xiii,north_gaza,all,NA
sp4_xiv,khan_yunis,all,NA
sp4_xiv,deir_balah,all,NA
sp4_xiv,gaza,all,NA
sp4_xiv,rafah,all,NA
sp4_xiv,north_gaza,all,NA
p1,khan_yunis,all,NA
p1,deir_balah,all,NA
p1,gaza,all,NA
p1,rafah,all,NA
