dependent.var,repeat.var.value,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers,independent.var,numbers
fl2_xii,deir_balah,female_headed,0.057717898,male_headed,0.054521679,refugees,0.047995729,non_refugees,0.097005426,in_camp_refugee,0.050670124,out_camp_refugee,0.04649141,NA,0.055022787
fl2_xii,gaza,female_headed,0.005760766,male_headed,0.06044431,refugees,0.062061551,non_refugees,0.047884917,in_camp_refugee,0.098360656,out_camp_refugee,0.057680568,NA,0.055778634
fl2_xii,rafah,female_headed,0.040614738,male_headed,0.091375729,refugees,0.089239773,non_refugees,0.060671463,in_camp_refugee,0.1171875,out_camp_refugee,0.083275798,NA,0.086059035
fl2_xii,north_gaza,female_headed,0.011552988,male_headed,0.044726471,refugees,0.035377421,non_refugees,0.057719261,in_camp_refugee,0,out_camp_refugee,0.043435763,NA,0.041575078
h1,khan_yunis,female_headed,0.971398802,male_headed,0.982473996,refugees,0.9801637,non_refugees,0.9829039,in_camp_refugee,0.983870968,out_camp_refugee,0.979388491,NA,0.981157474
h1,deir_balah,female_headed,0.996040093,male_headed,0.993225953,refugees,0.992608121,non_refugees,1,in_camp_refugee,1,out_camp_refugee,0.988450269,NA,0.993666667
h1,gaza,female_headed,1,male_headed,0.998394656,refugees,0.998068734,non_refugees,0.999113193,in_camp_refugee,1,out_camp_refugee,0.997835647,NA,0.998531626
h1,rafah,female_headed,0.922032135,male_headed,0.96924119,refugees,0.959823335,non_refugees,1,in_camp_refugee,0.9921875,out_camp_refugee,0.952916903,NA,0.964296525
h1,north_gaza,female_headed,1,male_headed,0.99253089,refugees,0.993257376,non_refugees,0.993196307,in_camp_refugee,1,out_camp_refugee,0.991721528,NA,0.993240436
h2,khan_yunis,female_headed,0.779960004,male_headed,0.738607398,refugees,0.726876618,non_refugees,0.772776933,in_camp_refugee,0.862903226,out_camp_refugee,0.69843272,NA,0.743523034
